TEMPS	VO2	VCO2	FR	VT
519	1669.970402	1032.341202	23.29192547	1.286182343
521	1768.718946	1096.877506	23.79064235	1.320861328
524	1821.345363	1136.144062	23.8758456	1.353500372
526	1856.296179	1132.143626	23.29192547	1.376959685
529	1788.20022	1069.527748	22.71006813	1.33514091
532	1775.195747	1075.176221	22.39641657	1.325961178
535	1810.797735	1087.803018	21.97802198	1.362680103
537	2060.115825	1238.933039	22.79635258	1.459577266
539	2017.883622	1199.753095	23.63135093	1.394299178
542	1961.753568	1179.113939	25.39145154	1.296382044
544	1686.007138	1020.084164	24.90660025	1.19234509
547	1746.185081	1060.43791	25.35925613	1.237223776
549	1958.096038	1188.943416	25.97402597	1.346360581
551	2070.826689	1232.103509	26.59574468	1.383079506
554	1783.550231	1081.442426	23.91390992	1.345340611
556	1733.509266	1047.08016	24.46982055	1.303521835
558	1842.716713	1122.913918	26.44336712	1.300461925
560	2194.107579	1324.422128	31.31524008	1.319841357
562	2069.736981	1317.417106	28.54424358	1.400418998
564	1937.052754	1255.160338	27.19854941	1.408578759
566	1968.282456	1250.727186	28.26189355	1.363700073
569	1934.406041	1187.042341	28.7218765	1.285162373
571	1933.234865	1184.133718	29.12621359	1.251503358
573	1967.298362	1226.785621	27.66251729	1.33922079
575	1954.268228	1214.497435	29.08385846	1.318821387
577	1821.985443	1165.275129	29.08385846	1.300461925
579	1705.736264	1117.878232	28.5850405	1.291282194
581	1721.022819	1136.687192	28.35538752	1.271902761
583	1813.073544	1184.398337	27.2851296	1.332080999
585	1797.164385	1152.972479	28.18224519	1.238243747
588	1722.389661	1084.967873	26.56042497	1.242323627
590	1730.571779	1041.594123	27.61159687	1.143386524
592	1835.858423	1113.815002	25.90673575	1.287202313
609	1909.54373	1106.519856	24.97918401	1.399399028
611	1854.864575	1058.213292	22.96211251	1.513635684
614	1684.498252	907.8907584	21.95389682	1.449377565
617	1583.063621	866.7477024	21.7944061	1.349420491
620	1626.584006	867.1553221	21.15655853	1.354520342
623	1781.13685	934.5548739	21.41327623	1.382059536
625	1913.902001	984.4218534	21.98607549	1.421838371
628	1990.98879	1008.366493	23.02379125	1.418778461
630	2001.088061	1022.73482	23.29192547	1.429998132
633	1915.357322	982.9224794	22.76176024	1.41571855
637	1656.872559	875.7838715	19.59503592	1.439177864
639	1855.831099	970.1354548	20.31832035	1.535055056
642	2026.395435	1046.522392	20.88409328	1.612572787
644	2205.180465	1206.439771	24.83443709	1.607472936
647	2010.078485	1143.416767	23.3826968	1.6360321
649	1896.720303	1141.24425	23.68732728	1.619712578
654	1684.691264	798.1184551	24.27184466	1.19234509
656	1903.760052	883.380107	26.32733655	1.204584732
658	2031.412367	933.389327	28.7218765	1.19336506
660	1864.420873	836.0007079	30.12048193	1.081168345
662	1522.51086	731.9159789	26.79767753	1.055669092
665	1545.784355	733.0455707	25.25252525	1.093407987
667	1636.488465	782.0314027	23.94253791	1.18928518
669	1795.838809	826.8714207	25.39145154	1.175005598
672	1976.706282	888.6023651	26.74988854	1.179085479
674	2064.866873	950.5981328	26.9541779	1.230083985
676	2246.281595	1050.179682	27.49770852	1.343300671
678	2009.852503	986.6988888	26.7141585	1.345340611
681	1788.478706	900.2125775	25.3164557	1.288222283
683	1806.336645	903.5088223	25.46689304	1.256603209
687	1540.364104	804.8084979	21.95389682	1.210704553
689	1738.697776	868.1368038	21.88183807	1.299441955
692	1706.26105	860.5869937	21.03049422	1.326981148
694	2051.541115	1007.101263	23.3826968	1.408578759
697	2128.012732	1074.620159	24.33090024	1.447337625
699	2304.369313	1115.279816	25.90673575	1.461617207
701	2312.531726	1121.114501	27.32240437	1.446317655
703	2234.193626	1069.020155	28.22201317	1.396339118
706	1854.940391	942.4984724	25.82866982	1.323921238
708	1895.782481	979.7731284	25.65198803	1.344320641
710	1734.53999	932.3202095	23.8758456	1.313721537
712	1922.371956	1006.250198	26.79767753	1.306581746
715	1819.383759	952.154926	26.51347768	1.283122433
717	1765.518924	931.2009952	25.97402597	1.295362074
720	1776.984064	950.8070763	24.40016267	1.353500372
722	1823.932938	965.8176299	24.89626556	1.351460432
724	1960.769085	1037.414427	27.27272727	1.33820082
726	2076.57307	1088.803562	27.61159687	1.403478909
728	2136.62772	1066.476045	28.5850405	1.358600223
730	2120.612036	1030.834275	28.08988764	1.389199327
732	2012.952062	996.6903908	28.66698519	1.352480402
735	1970.895711	1021.75413	27.61159687	1.437137923
737	1988.486092	1024.634081	27.35978112	1.457537326
739	1986.190566	1002.464597	27.19854941	1.441217804
741	1993.103113	981.405818	28.80460874	1.347380551
744	1628.105664	841.9492113	26.7141585	1.204584732
746	1601.66642	836.468971	26.13240418	1.207644642
748	1600.433605	850.0076546	24.67105263	1.269862821
751	1908.122239	975.3826252	26.51347768	1.372879805
753	1914.026388	969.1627546	26.7141585	1.351460432
755	1996.686802	998.0298659	27.07581227	1.360640163
757	2062.299606	1006.804727	27.32240437	1.358600223
759	2017.046842	976.72913	27.03920685	1.346360581
761	1999.862318	982.1489464	27.57352941	1.323921238
763	1941.118737	941.3319109	29.1403594	1.232123926
766	1898.299921	934.6303284	29.26829268	1.223964165
768	1784.232669	882.1129956	28.22201317	1.210704553
770	1770.772518	899.1349942	26.51347768	1.274962671
773	1639.4483	855.5481115	24.73206925	1.255583239
775	1815.33035	921.5455873	26.21231979	1.280062522
777	2004.134036	1022.690284	26.67852379	1.373899775
779	2285.663341	1118.748294	29.86560478	1.399399028
781	2051.127018	1012.293335	27.57352941	1.41469858
783	1925.460656	964.8030337	26.99055331	1.402458939
786	1952.011874	1010.279124	26.31578947	1.457537326
788	2040.841059	1058.532435	26.63115846	1.471816908
790	2156.21166	1070.809729	27.37226277	1.461617207
792	2110.07964	1020.320176	28.05049088	1.392259237
796	1553.485292	847.7050563	23.07692308	1.317801417
798	1526.454224	828.2510321	22.71006813	1.283122433
800	1613.998721	900.6027031	22.84843869	1.346360581
802	2318.272876	1151.889778	28.05049088	1.458557296
805	2267.769082	1160.064704	27.37226277	1.522815415
807	2123.115965	1034.924639	26.13240418	1.467737027
809	1979.62685	959.1206401	26.36203866	1.408578759
811	1940.612992	949.0299253	27.95899348	1.334120939
813	2111.986311	1072.217577	28.6259542	1.418778461
828	1989.050276	1038.574376	29.71768202	1.345340611
830	1856.984755	998.0867749	28.31524304	1.320861328
834	1328.205971	809.1177832	22.97090352	1.229064015
836	1500.228855	895.1359666	22.11573903	1.33514091
